Product,Price,Catalog,Category
NEBULIZER,30000,Medical Equipment,Medical Equipment
VENTILATORS,19000000,Medical Equipment,Medical Equipment
ISOLATION GOWN,8000,Medical Equipment,Person Protection Safety Packs PPE
DIGITAL THERMOMETER,550,Medical Equipment,Medical Equipment
WHEEL CHAIR,31000,Medical Equipment,Medical Equipment
ECOMED PATIENT MONITOR,396000,Medical Equipment,Medical Equipment
NASAL CARTHETHER,450,Medical Equipment,Medical Equipment
GOOGLES,1200,Medical Equipment,Person Protection Safety Packs PPE
CRASH CART,440000,Medical Equipment,Medical Equipment
DRUG TROLLEY,32000,Medical Equipment,Medical Equipment
PATIENT TROLLEY,165000,Medical Equipment,Medical Equipment
OXYGEN CYLINDER,55000,Medical Equipment,Medical Equipment
INFRA-RED THERMOMETER,40000,Medical Equipment,Medical Equipment
3 PLY NOSE MASK PACK (50pcs),13000,Medical Equipment,Person Protection Safety Packs PPE
3M N95 (10 Pcs),53000,Medical Equipment,Person Protection Safety Packs PPE
N95 8210 PACK (20pcs),83000,Medical Equipment,Person Protection Safety Packs PPE
KN95 PACK (10pcs),30000,Medical Equipment,Person Protection Safety Packs PPE
N95 FFP1 (20pcs),58000,Medical Equipment,Person Protection Safety Packs PPE
COVID 19 TEST KITS,12000,Medical Equipment,Laboratory Test Kits
HAND SANITIZERS 100 ML CARTON ,29000,Medical Equipment,Person Protection Safety Packs PPE
HAND SANITIZERS 500 ML CARTON ,53000,Medical Equipment,Person Protection Safety Packs PPE
HAND SANITIZERS 1LTR CARTON ,80000,Medical Equipment,Person Protection Safety Packs PPE
POWDERED GLOVES CARTON ,35000,Medical Equipment,Person Protection Safety Packs PPE
AUTOMATIC SANITIZERS ,45000,Medical Equipment,Medical and Stationary Spill-Clean Up Kit
COVERALL  ,8000,Medical Equipment,Person Protection Safety Packs PPE
DISPOSABLE LABCOAT,1600,Medical Equipment,Person Protection Safety Packs PPE
ELBOW LENGTH NITRILE GLOVE (10 Pcs),4000,Medical Equipment,Person Protection Safety Packs PPE
APRON (10 Pcs),10000,Medical Equipment,Person Protection Safety Packs PPE
SHOE COVER (100 PCS),5000,Medical Equipment,Person Protection Safety Packs PPE
HAIR COVER (100 Pcs),2700,Medical Equipment,Person Protection Safety Packs PPE
